name,latitude,longitude
Villena 2,38.615400,-0.960889
Pedrola,41.729794,-1.230089
Capella,42.203953,0.447361
Alfamén 1,41.451094,-1.228169
Épila,41.571469,-1.205944
SFV Eimex,19.427740,-99.204910
SFV LDC Iberdrola,19.506450,-97.340040
Núñez de Balboa,38.437583,-6.214289
Arenales,39.823275,-5.638553
El Romeral,39.600694,-2.040903
Ceclavín,39.849406,-6.734450
Francsico Pizarro,39.574117,-5.705717
Cedillo,39.629781,-7.459344
Flota de los Álamos,37.763717,-1.434653
Valdecaballeros Badajoz,39.250136,-5.285203
Valdecaballeros Cáceres,39.270219,-5.432556
Augusto,38.879900,-6.875019
Las Corchas - Los naranjos,37.452561,-5.795217
La Vega I-II,36.998806,-4.966558
Torrepalma,37.398028,-5.860569
Sol de Casaquemada,37.429186,-6.277714
San Antonio,37.330181,-6.926383
Binatria,39.807297,3.083250
Sa Caseta,39.418486,2.798978
Zafra,37.272220,-5.877080
Palmela,38.604620,-8.962220
Alhama de Murcia II,37.779790,-1.429810
Malabrigo,36.639670,-5.887240
La Guita,36.611060,-5.854410
Arenosas,36.616110,-5.802370
El Yarte,36.654950,-5.856040
Cosentino,37.370280,-2.237560
Riolobos,39.934200,-6.378090
Miraflores,38.749670,-5.545280
Tabernas 1,37.068880,-2.305280
Tabernas 2,37.068880,-2.305280
Sant Dalmai,41.910140,2.732120
Otos,38.872480,-0.452800
Auñon,40.521361,-2.802278
Alpla Noblejas,39.991925,-3.439739
Deusto Holding,40.825861,-4.278194
Les Franqueses,41.647828,2.312303
Ponferrada,42.576430,-6.677200
Aguascalientes I,0.000000,0.000000
Escuderos 1,39.988540,-2.663830
Belinchon 3,40.034870,-3.080360
Fuente Álamo V & VI,37.693110,-1.187450
Escuderos 4,39.988000,-2.672480
Piniello,42.380000,0.503410
Cuesta Blanca 2,37.768261,-1.697972
Belinchon 1,40.052889,-3.097183
Belinchon 2,40.052889,-3.097183
Naos 0.9,37.750490,-1.699860
Naos 2.5,37.764861,-1.721500
Carrascosa,40.593816,-2.170269
Pozuelo,40.618169,-2.270355
Escuderos 2,39.988000,-2.672480
Escuderos 3,39.988000,-2.672480
Escuderos 5,39.988000,-2.672480
Cosentino II,37.366130,-2.242420
La Gineta,39.106527,-2.048333
Hellín,38.579166,-1.762777
Palancares,38.953736,-1.748761
El Redondo,39.151005,-1.559972
Monóvar 1 y 2,38.466277,-0.904444
Fontiveros,40.938611,-4.965555
Fuenlabrada de los Montes,39.175852,-4.835463
Lobón,38.846019,-6.599458
Vejer,36.243955,-6.007222
Villanueva de los Infantes,38.743300,-3.048100
Hinojosa del Duque,38.481666,-5.134722
Fuente Palmera,37.754444,-5.043333
Villanueva de la Jara,39.439580,-1.906070
Escúzar,37.055000,-3.737222
Moraleda,37.150000,-3.920000
Alquería,37.718175,-2.549772
Guadix,37.263891,-3.135300
Pinos Puente,37.200552,-3.902983
Ventanas,37.532811,-2.644872
Villanueva del Arzobispo,38.156666,-2.996666
Gil de Olid,37.915761,-3.534261
Sobarriba,42.606388,-5.511388
Bobadilla,37.031441,-4.741158
Humilladero,37.136097,-4.705947
Moclinejo,36.786052,-4.267522
Totana 1 (VELTO),37.747172,-1.442752
Totana 3,37.709416,-1.457250
Totana 4,37.709463,-1.455458
Totana 5,37.713194,-1.483030
Totana 6,37.712838,-1.479891
Totana 8,37.734811,-1.480769
Cañada del Tollo,37.782313,-1.648438
Lorca Desagüe,37.606388,-1.676388
Purias,37.622133,-1.626327
Bernardos 1,41.153888,-4.326111
Bernardos 2,41.147222,-4.359166
Aznalcóllar,37.516111,-6.232777
Morón,37.093160,-5.631070
Alhonoz,37.408100,-4.873950
Marzagán,28.163397,-16.465247
Ocaña 2,39.965833,-3.488888
Ollería 2,38.926666,-0.528333
La Zaida,41.325966,-0.445452
Pina de Ebro,41.523611,-0.522778
Tauste (VELTO),41.865444,-1.204972
Deers,41.750000,-1.172720
Arisol A,0.000000,0.000000
Arisol B,0.000000,0.000000
Zales I,41.323440,2.135960
Zales II,41.321860,2.147260
El Tomillar,38.758930,-1.575840
Cuesta Blanca 3,37.768261,-1.697972
Perseo Fotón 1,39.094190,-3.308070
Puerta del Jerte,39.977890,-6.192320
Olmedilla 2 (SONNEDIX),39.615150,-2.090753
Perseo Fotón 2,39.094190,-3.308070
Perseo Fotón 3,39.094190,-3.308070
Tabernas,37.084660,-2.226800
Calaveron,39.327770,-2.529170
Almansa (Verbund),38.845720,-1.025280
Barrax,39.041806,-2.211722
Bonete,38.883361,-1.333639
Casas de Ves,39.253111,-1.260917
Villarrobledo,39.222361,-2.627361
Las Atochas,36.870083,-2.306750
Don Benito,38.930917,-5.914583
Las Peladas,38.051778,-6.292722
Santa Amalia,38.989194,-6.026056
Casatejada,39.890833,-5.688611
Logrosán,39.215056,-5.403833
Madrigalejo,39.166222,-5.637361
Rosalejo,39.995056,-5.470500
Cinco Casas,39.161972,-3.232056
Miguelturra,38.932222,-3.860278
Villares del Saz,39.842500,-2.565833
Andújar,37.987306,-4.048583
Puente de Génave,38.361331,-2.795700
Vilches,38.155556,-3.471389
Carflor,42.511417,-5.748083
Borges Blanques,41.505167,0.868472
Juneda,41.560139,0.831639
Fuente Álamo Norte,37.689730,-1.188190
Fuente Álamo Sur,37.684890,-1.186560
Naranja,37.683061,-1.533147
Valverdón,41.059389,-5.781528
Aldover,40.876417,0.477556
Mora la Nova,41.083417,0.682361
Albarreal,39.908333,-4.240000
Añover,39.958333,-3.794722
Cuerva,39.659444,-4.203333
Navalmorales,39.700139,-4.637861
San Martín de Pusa,39.818969,-4.639139
Totanés,39.728972,-4.227611
Écija (VERBUND),37.543733,-5.129125
Lobón (VERBUND),38.833611,-6.624389
