name,latitude,longitude,altitud,ASL
waypoint 0,41.082319,0.681812,150,99.078255
waypoint 1,41.081705,0.683687,150,102.935104
waypoint 2,41.081915,0.683818,150,100.765717
waypoint 3,41.08254,0.681957,150,95.300201
waypoint 4,41.082766,0.682265,150,92.52005
waypoint 5,41.08225,0.683843,150,97.859825
waypoint 6,41.082483,0.683945,150,96.70977
waypoint 7,41.082992,0.682367,150,91.490158
waypoint 8,41.083261,0.682542,150,91.519234
waypoint 9,41.083041,0.683161,150,93.505493
